pk,uid,name,locName_en,accountType,active,orderBlock,sfdcServiceLayer,addresses
8798080565253,0000000021,ONE SOURCE AEROSPACE DO NOT USE,ONE SOURCE AEROSPACE DO NOT USE,Distributor,true,true,Refer to Network,8798047535127
8799852036101,0000000022,AUTAIR,AUTAIR,,true,true,,8799818612759
8800115851269,0000000023,EADS AIRBUS FRANCE SAS,EADS AIRBUS FRANCE SAS,,true,true,,8800082624535
8799321489413,0000000024,HONEYWELL AEROSPACE PTE LTD,HONEYWELL AEROSPACE PTE LTD,,true,true,,8799288197143
8799518031877,0000000025,BOEING FLIGHT SERVICES,BOEING FLIGHT SERVICES,,true,true,,8799484772375
8799750750213,0000000026,DO NOT USE TUNISAIR,DO NOT USE TUNISAIR,Commercial Airline,true,true,Comprehensive,8799718211607
8799329157125,0000000027,DO NOT USE,DO NOT USE,,true,true,,8799295995927
8799657787397,0000000028,DO NOT USE,DO NOT USE,,true,true,,8799624724503
8796336816133,0000000029,Clearwater Cabin Management Systems,Clearwater Cabin Management Systems,Product/Service Provider,true,true,Standard,8796303818775
8797503520773,0000000030,CESSNA AIRCRAFT CORP,CESSNA AIRCRAFT CORP,,true,true,,8797470556183
8798114152453,0000000031,Do Not Use,Do Not Use,,true,true,,8798080958487
8799792955397,0000000032,DO NOT USE,DO NOT USE,,true,true,,8799759925271
8801197031429,0000000033,ST AEROSPACE SYSTEMS,ST AEROSPACE SYSTEMS,,true,true,,8801163673623
8799777914885,0000000034,DO NOT USE AVIATION SPARES INTL LTD,DO NOT USE AVIATION SPARES INTL LTD,Product/Service Provider,true,true,Refer to Network,8799744884759
8799457148933,0000000036,AIR NOVA,AIR NOVA,,true,true,,8799424774167
8797511254021,0000000037,LOCKBOX TRANSFERS FROM ORACLE,LOCKBOX TRANSFERS FROM ORACLE,,true,true,,8797478158359
8796842917893,0000000038,LOCKBOX TRANSFERS FROM WALKER,LOCKBOX TRANSFERS FROM WALKER,,true,true,,8796809691159
8797845880837,0000000039,LOCKBOX TRANSFERS FROM OTHER,LOCKBOX TRANSFERS FROM OTHER,,true,true,,8797812752407
8797073211397,0000000040,LOCKBOX TRANSFERS TO ORACLE,LOCKBOX TRANSFERS TO ORACLE,Product/Service Provider,true,true,Standard,8797040574487
8799525273605,0000000041,LOCKBOX TRANSFERS TO WALKER,LOCKBOX TRANSFERS TO WALKER,,true,true,,8799491948567
8801205125125,0000000042,LOCKBOX TRANSFERS TO OTHER,LOCKBOX TRANSFERS TO OTHER,,true,true,,8801171832855
8799774310405,0000000043,DO NOT USE B&G INSTRUMENTS,DO NOT USE B&G INSTRUMENTS,Product/Service Provider,true,true,Refer to Network,8799740985367
8801197064197,0000000044,B&G INSTRUMENTS,B&G INSTRUMENTS,,true,true,,8801163739159
8798990303237,0000000051,EADS Sogerma Services,EADS Sogerma Services,,true,false,,8798957207575
8797646127109,0000000052,DO NOT USE Aerospace-Commercial,DO NOT USE Aerospace-Commercial,Product/Service Provider,true,true,Standard,8797613260823
8797404889093,0000000053,JALUX AMERICAS INC,JALUX AMERICAS INC,Product/Service Provider,true,false,Comprehensive,8797371826199
8796155772933,0000000054,JALUX AMERICAS INC,JALUX AMERICAS INC,,true,false,,8796122939415
8796496363525,0000000056,WEST COAST AVIATION,WEST COAST AVIATION,,true,true,,8796463464471
8799419498501,0000000057,DO NOT USE,SEE ACCT 144,01,true,false,Dealer,8799386435607
8798411620357,0000000058,DO NOT USE V2X AEROSPACE LLC,DO NOT USE V2X AEROSPACE LLC,Dealer,true,true,Superior,8798378197015
8800766328837,0000000059,AEROTECH REPAIR & OVERHA DO NOT USE,AEROTECH REPAIR & OVERHA DO NOT USE,Product/Service Provider,true,true,Refer to Network,8800733298711
8801430634501,0000000060,DO NOT USE ORIENT THAI AIRLINES,DO NOT USE ORIENT THAI AIRLINES,Regional Airline,true,true,Standard,8801397473303
8801450983429,0000000061,DO NOT USE,SEE ACCT 311270,01,true,false,OEM,8801417822231
8796394717189,0000000062,DO NOT USE SIKORSKY AIRCRAFT CORP,DO NOT USE SIKORSKY AIRCRAFT CORP,OEM,true,true,Superior,8796361785367
8798745493509,0000000063,CJ SYSTEMS AVIATION GROUP INC,CJ SYSTEMS AVIATION GROUP INC,Helicopter Fleet,true,true,Comprehensive,8798712397847
8798846091269,0000000064,CJ SYSTEMS AVIATION GROUP INC,CJ SYSTEMS AVIATION GROUP INC,,true,true,,8798813126679
8799518097413,0000000065,CJ SYSTEMS AVIATION GROUP INC,CJ SYSTEMS AVIATION GROUP INC,,true,true,,8799484837911
8801100431365,0000000066,AIRMAURIN INC DO NOT USE,AIRMAURIN INC DO NOT USE,Owner/Operator,true,true,Refer to Network,8801067302935
8798080466949,0000000067,TAYLOR & ASSOCIATES INC DO NOT USE,TAYLOR & ASSOCIATES INC DO NOT USE,Owner/Operator,true,true,Refer to Network,8798048419863
8801095680005,0000000071,DO NOT USE COMJET INTL INC,DO NOT USE COMJET INTL INC,Product/Service Provider,true,true,Standard,8801062354967
8800093995013,0000000072,JET AIR WEST LLC,JET AIR WEST LLC,Product/Service Provider,true,false,Refer to Network,8800060899351
8798786256901,0000000073,SUCKLING AIRWAYS CAMBRID DO NOT USE,SUCKLING AIRWAYS CAMBRID DO NOT USE,Regional Airline,true,true,Refer to Network,8798753226775
8798080532485,0000000074,KB HOME DO NOT USE,KB HOME DO NOT USE,Owner/Operator,true,true,Standard,8798047404055
8801116422149,0000000076,RICHMOR AVIATION,RICHMOR AVIATION,Owner/Operator,true,false,Standard,8801083097111
8796739928069,0000000077,RICHMOR AVIATION,RICHMOR AVIATION,Owner/Operator,true,false,Standard,8796706635799
8800189054981,0000000078,RICHMOR AVIATION,RICHMOR AVIATION,,true,true,,8800156057623
8800078233605,0000000079,DO NOT USE MULTIPARTS LTD,DO NOT USE MULTIPARTS LTD,Product/Service Provider,true,true,Refer to Network,8800045137943
8798081122309,0000000081,MURRAY AVIONICS INC,MURRAY AVIONICS INC,Product/Service Provider,true,false,Refer to Network,8798048059415
8799086313477,0000000082,DO NOT USE AIR WISCONSIN,DO NOT USE AIR WISCONSIN,Owner/Operator,true,true,Comprehensive,8799053250583
8797759045637,0000000083,KATZ AVIATION INC DO NOT USE,KATZ AVIATION INC DO NOT USE,Distributor,true,true,Refer to Network,8797726015511
8798411096069,0000000084,KATZ AVIATION INC DO NOT USE,KATZ AVIATION INC DO NOT USE,Distributor,true,true,Refer to Network,8798378295319
8797741711365,0000000085,AVIATION CONSULTANTS & S DO NOT USE,AVIATION CONSULTANTS & S DO NOT USE,Product/Service Provider,true,true,Standard,8797708615703
8797070622725,0000000086,DO NOT USE JETAIRE AVIATION INC,DO NOT USE JETAIRE AVIATION INC,Product/Service Provider,true,true,Refer to Network,8797037625367
8800431833093,0000000087,DO NOT USE AEROSPACE ENGINEERING,DO NOT USE AEROSPACE ENGINEERING,Product/Service Provider,true,true,Refer to Network,8800398770199
8796385345541,0000000088,SOUTHERN AIR SYSTEMS MAINT INC,SOUTHERN AIR SYSTEMS MAINT INC,Owner/Operator,true,false,Standard,8796352905239
8798081384453,0000000089,M7 AEROSPACE LP,M7 AEROSPACE LP,Product/Service Provider,true,false,Standard,8798048387095
8798171660293,0000000090,M7 AEROSPACE LP,M7 AEROSPACE LP,,true,true,,8798138564631
8801085259781,0000000091,COBHAM AVIATION SERVICES,COBHAM AVIATION SERVICES,Regional Airline,true,false,Standard,8801052033047
8798745329669,0000000092,DO NOT USE,SEE ACCT 91,01,true,false,Product/Service Provider,8798712463383
8800324452357,0000000093,NATIONAL JET SYSTEMS,NATIONAL JET SYSTEMS,,true,true,,8800291291159
8797737353221,0000000094,ADVANCED TECH SUPPLY INC DO NOT USE,ADVANCED TECH SUPPLY INC DO NOT USE,Dealer,true,true,Refer to Network,8797704585239
8799422939141,0000000095,MILLENNIUM AVIONICS LLC DO NOT USE,MILLENNIUM AVIONICS LLC DO NOT USE,Product/Service Provider,true,true,Standard,8799389810711
8799752552453,0000000096,DO NOT USE SEMITOOL INC,DO NOT USE SEMITOOL INC,Owner/Operator,true,true,Refer to Network,8799719424023
8800129253381,0000000097,DO NOT USE,SEE ACCT 96,01,true,false,Owner/Operator,8800096026647
8797402267653,0000000098,DO NOT USE,USE 303913,01,true,false,Commercial Airline,8797369958423
8798075256837,0000000099,DO NOT USE,SEE 303913,01,true,false,Commercial Airline,8798042292247
8800407748613,0000000100,GOL LINHAS AEREAS SA,GOL LINHAS AEREAS SA,,true,true,,8800374456343
8796495839237,0000000101,VRG LINHAS AEREAS SA,VRG LINHAS AEREAS SA,,true,true,,8796462907415
8799518130181,0000000102,VRG LINHAS AEREAS SA,VRG LINHAS AEREAS SA,,true,true,,8799485394967
8800991510533,0000000103,HONEYWELL,HONEYWELL,,true,false,,8800958382103
8801141456901,0000000104,PSA AIRLINES,PSA AIRLINES,Regional Airline,true,false,Comprehensive,8801108262935
8800761839621,0000000105,DO NOT USE PSA AIRLINES,DO NOT USE PSA AIRLINES,Regional Airline,true,true,Comprehensive,8800728645655
8799086149637,0000000106,MALAYSIA AIRLINES DO NOT USE,MALAYSIA AIRLINES DO NOT USE,Commercial Airline,true,true,Superior,8799053283351
8800767082501,0000000107,JOHNSON & JOHNSON FLIGHT,JOHNSON & JOHNSON FLIGHT,Owner/Operator,true,false,Standard,8800734183447
8797305995269,0000000108,Aerospace-Irving,Aerospace-Irving,,true,false,,8797272932375
8801436073989,0000000109,IFL GROUP INC,IFL GROUP INC,Product/Service Provider,true,false,Standard,8801403731991
8799753928709,0000000110,DO NOT USE EASTERN STONE CO,DO NOT USE EASTERN STONE CO,Product/Service Provider,true,true,Refer to Network,8799720767511
8800766296069,0000000111,HORIZON TECHNOLOGIES DO NOT USE,HORIZON TECHNOLOGIES DO NOT USE,Owner/Operator,true,true,Standard,8800732872727
8797634265093,0000000112,HORIZON TECHNOLOGIES,HORIZON TECHNOLOGIES,,true,true,,8797601333271
8797406691333,0000000113,WINGSTAR AVIATION INC DO NOT USE,WINGSTAR AVIATION INC DO NOT USE,Dealer,true,true,Standard,8797373661207
8797406625797,0000000114,CENTELLA DO NOT USE,CENTELLA DO NOT USE,Owner/Operator,true,true,Standard,8797373595671
8799421628421,0000000115,DO NOT USE TDC VENTURES INC,DO NOT USE TDC VENTURES INC,Product/Service Provider,true,true,Refer to Network,8799388401687
8798636539909,0000000116,HONEYWELL ERB - UK,HONEYWELL ERB - UK,,true,false,,8798603542551
8796628025349,0000000117,HONEYWELL ERB - SINGAPORE,HONEYWELL ERB - SINGAPORE,,true,false,,8796594995223
8797396140037,0000000118,HONEYWELL ERB - AUSTRALI DO NOT USE,HONEYWELL ERB - AUSTRALI DO NOT USE,Product/Service Provider,true,true,Standard,8797363273751
8800434388997,0000000119,VULCAN FLIGHT OPERATIONS,VULCAN FLIGHT OPERATIONS,Owner/Operator,true,false,Refer to Network,8800401063959
8800529514501,0000000120,ALLEGIANT AIR INC,ALLEGIANT AIR INC,,true,true,,8800496353303
8798080434181,0000000121,TRANSPORT CANADA DO NOT USE,TRANSPORT CANADA DO NOT USE,Owner/Operator,true,true,Comprehensive,8798047371287
8800434421765,0000000122,DAYTONA AIRCRAFT,DAYTONA AIRCRAFT,Product/Service Provider,true,false,Refer to Network,8800401031191
8800091242501,0000000123,HAINAN AIRLINES HOLDING CO LTD,HAINAN AIRLINES HOLDING CO LTD,Commercial Airline,true,true,Refer to Network,8800058048535
8798427250693,0000000124,DO NOT USE BECHTEL CORP,DO NOT USE BECHTEL CORP,Owner/Operator,true,true,Standard,8798394908695
8797169713157,0000000125,BECHTEL CORP,BECHTEL CORP,,true,true,,8797136879639
8796393603077,0000000126,DO NOT USE CIRRUS AEROSPACE INC,DO NOT USE CIRRUS AEROSPACE INC,Product/Service Provider,true,true,Refer to Network,8796360933399
8796738551813,0000000127,FLIGHT TURBINE SERVICES DO NOT USE,FLIGHT TURBINE SERVICES DO NOT USE,Dealer,true,true,Refer to Network,8796705751063
8799087558661,0000000128,DO NOT USE TITAN AVIATION CORP,DO NOT USE TITAN AVIATION CORP,Product/Service Provider,true,true,Refer to Network,8799054364695
8800114966533,0000000129,AERONEXUS,AERONEXUS,Product/Service Provider,true,false,Standard,8800082755607
8800991707141,0000000130,AERONEXUS,AERONEXUS,,true,true,,8800958545943
8796399992837,0000000131,MILLVILLE JET CENTER,MILLVILLE JET CENTER,Owner/Operator,true,false,Standard,8796367159319
8798746476549,0000000132,DO NOT USE EX ELTRONICS INC,DO NOT USE EX ELTRONICS INC,Product/Service Provider,true,true,Refer to Network,8798713151511
8799751897093,0000000136,SKYWAY AIRLINES INC DO NOT USE,SKYWAY AIRLINES INC DO NOT USE,Regional Airline,true,true,Refer to Network,8799718703127
8798447435781,0000000137,SKYWAY AIRLINES INC DO NOT USE,SKYWAY AIRLINES INC DO NOT USE,Regional Airline,true,true,Refer to Network,8798413914135
8797403774981,0000000138,DO NOT USE,SEE ACCT 3280,01,true,false,Service Center,8797370974231
8799122423813,0000000141,EXELIS INC,EXELIS INC,Owner/Operator,true,false,Refer to Network,8799090409495
8798080303109,0000000142,TECHNO PACIFIC DO NOT USE,TECHNO PACIFIC DO NOT USE,Dealer,true,true,Refer to Network,8798048354327
8797071212549,0000000143,ONE SOURCE AEROSPACE DO NOT USE,ONE SOURCE AEROSPACE DO NOT USE,Distributor,true,true,Refer to Network,8797038182423
8796738977797,0000000144,V2X AEROSPACE LLC,V2X AEROSPACE LLC,Dealer,true,false,Superior,8796705849367
8801125564421,0000000145,AVIATION ASSISTANCE GMBH,AVIATION ASSISTANCE GMBH,Owner/Operator,true,false,Standard,8801092403223
8799754485765,0000000146,AERO CONTINENTE DO NOT USE,AERO CONTINENTE DO NOT USE,Product/Service Provider,true,true,Standard,8799721390103
8796972875781,0000000147,EADS CASA AVIONES MILITARES,EADS CASA AVIONES MILITARES,,true,true,,8796939616279
8797765533701,0000000148,AIRBUS DEFENCE AND SPACE SA,AIRBUS DEFENCE AND SPACE SA,OEM,true,false,Superior,8797732372503
8797301145605,0000000149,EADS CASA AVIONES MILITARES,EADS CASA AVIONES MILITARES,,true,false,,8797268082711
8800764624901,0000000150,DO NOT USE MATTIS AEROSPACE,DO NOT USE MATTIS AEROSPACE,Trading Company,true,true,Refer to Network,8800731430935
8796735733765,0000000151,UNICAL 145 INC DO NOT USE,UNICAL 145 INC DO NOT USE,Product/Service Provider,true,true,Standard,8796702605335
8797095067653,0000000152,DO NOT USE AIRLINAIR,DO NOT USE AIRLINAIR,Commercial Airline,true,true,Refer to Network,8797062103063
8798744182789,0000000153,DO NOT USE,SEE 302989,01,true,false,Commercial Airline,8798711250967
8798172250117,0000000154,AVIANCA AIRWAYS,AVIANCA AIRWAYS,,true,true,,8798139154455
8799852462085,0000000155,AVIANCA AIRWAYS,AVIANCA AIRWAYS,,true,true,,8799819399191
8799421104133,0000000156,AVIANCA INC,AVIANCA INC,Commercial Airline,true,true,Refer to Network,8799388106775
8797776248837,0000000157,DO NOT USE ALTERNATIVE AVIATION,DO NOT USE ALTERNATIVE AVIATION,Owner/Operator,true,true,Refer to Network,8797743087639
8797070589957,0000000158,DO NOT USE CYPRESS AIR INC,DO NOT USE CYPRESS AIR INC,Product/Service Provider,true,true,Refer to Network,8797037592599
8799088050181,0000000159,PREFERRED AVIATION DO NOT USE,PREFERRED AVIATION DO NOT USE,Dealer,true,true,Comprehensive,8799054856215
8799750684677,0000000160,DO NOT USE EADS SUPPLY &,DO NOT USE EADS SUPPLY &,Product/Service Provider,true,true,Refer to Network,8799717621783
8801197391877,0000000161,EADS SUPPLY & SERVICE INC,EADS SUPPLY & SERVICE INC,,true,true,,8801164230679
8800431865861,0000000162,DO NOT USE AVIOSUPPORT,DO NOT USE AVIOSUPPORT,Product/Service Provider,true,true,Refer to Network,8800398639127
8801119076357,0000000163,DO NOT USE GENERAL ENTERPRISES BV,DO NOT USE GENERAL ENTERPRISES BV,Product/Service Provider,true,true,Standard,8801085751319
8797739024389,0000000164,DO NOT USE RECORD AIRCRAFT,DO NOT USE RECORD AIRCRAFT,Distributor,true,true,Refer to Network,8797705797655
8797739909125,0000000165,MAXJET AIRWAYS INC DO NOT USE,MAXJET AIRWAYS INC DO NOT USE,Owner/Operator,true,true,Standard,8797706813463
8799852593157,0000000166,AIR TRANSPORT INTL,AIR TRANSPORT INTL,,true,true,,8799819268119
8801099382789,0000000167,PT AEROTAMA DINAMIKA PERKASA,PT AEROTAMA DINAMIKA PERKASA,Product/Service Provider,true,false,Standard,8801065992215
8796736716805,0000000168,AVSOURCE INC DO NOT USE,AVSOURCE INC DO NOT USE,Distributor,true,true,Refer to Network,8796703621143
8800090980357,0000000169,DO NOT USE AT&T WIRELESS SERVICE,DO NOT USE AT&T WIRELESS SERVICE,Owner/Operator,true,true,Refer to Network,8800057786391
8801097711621,0000000170,DO NOT USE GENERAL DYNAMICS,DO NOT USE GENERAL DYNAMICS,Dealer,true,true,Standard,8801064484887
8799756582917,0000000171,ARINC INC,ARINC INC,Owner/Operator,true,false,Standard,8799723356183
8796397436933,0000000172,DO NOT USE AEROSPACE ROTABLES INC,DO NOT USE AEROSPACE ROTABLES INC,Product/Service Provider,true,true,Refer to Network,8796364406807
8799462326277,0000000173,DO NOT USE,DO NOT USE,,true,true,,8799429132311
8801459732485,0000000175,THALES TRAINING & SIMULA DO NOT USE,THALES TRAINING & SIMULA DO NOT USE,Training Facility,true,true,Standard,8801426604055
8799518162949,0000000176,THALES TRAINING & SIMULATION,THALES TRAINING & SIMULATION,,true,true,,8799484870679
8797739941893,0000000177,PRIDE INTL LLC DO NOT USE,PRIDE INTL LLC DO NOT USE,Distributor,true,true,Refer to Network,8797707042839
8796425682949,0000000178,TUIFLY GMBH,TUIFLY GMBH,Owner/Operator,true,false,Comprehensive,8796392325143
8799756713989,0000000179,VERIZON AVIATION,VERIZON AVIATION,Owner/Operator,true,false,Standard,8799723978775
8799757303813,0000000180,PENINSULA AVIONICS,PENINSULA AVIONICS,Product/Service Provider,true,false,Standard,8799724142615
8800077971461,0000000181,DO NOT USE ASTAR AIR CARGO,DO NOT USE ASTAR AIR CARGO,Air Cargo Transporter,true,true,Refer to Network,8800045006871
8797839032325,0000000182,ASTAR AIR CARGO,ASTAR AIR CARGO,,true,true,,8797806002199
8798408867845,0000000183,EGYPTAIR,EGYPTAIR,Commercial Airline,true,false,Comprehensive,8798376165399
8801196277765,0000000184,EGYPTAIR,EGYPTAIR,,true,false,,8801163051031
8799757139973,0000000186,MILLENNIAL TECHNOLOGIES LLC,MILLENNIAL TECHNOLOGIES LLC,Dealer - Avionics,true,false,Standard,8799724208151
8797740367877,0000000187,DO NOT USE DELTA INTL TECHNOLOGY,DO NOT USE DELTA INTL TECHNOLOGY,Product/Service Provider,true,true,Refer to Network,8797706944535
8797407772677,0000000191,EXECAIRE INC,EXECAIRE INC,Dealer,true,false,Standard,8797374775319
8798004117509,0000000192,HONEYWELL INTL INC,HONEYWELL INTL INC,,true,false,,8797971120151
8799753666565,0000000193,OMEGA AEROSPACE SUPPLIER DO NOT USE,OMEGA AEROSPACE SUPPLIER DO NOT USE,Product/Service Provider,true,true,Refer to Network,8799720570903
8801136476165,0000000194,DO NOT USE DEPARTMENT OF THE,DO NOT USE DEPARTMENT OF THE,US Gov Military Agency,true,true,Comprehensive,8801103347735
8800127680517,0000000195,DO NOT USE FLIGHT SYSTEMS INTL INC,DO NOT USE FLIGHT SYSTEMS INTL INC,Product/Service Provider,true,true,Refer to Network,8800094552087
8798394286085,0000000196,TAROM ROMANIAN AIR TRANSPORT,TAROM ROMANIAN AIR TRANSPORT,Owner/Operator,true,false,Standard,8798360928279
8799782764549,0000000197,DO NOT USE LEONARDO SPA AIRCRAFT,DO NOT USE LEONARDO SPA AIRCRAFT,OEM,true,true,Superior,8799749701655
8800337952773,0000000198,LEONARDO SPA AIRCRAFT,LEONARDO SPA AIRCRAFT,OEM,true,false,Superior,8800304988183
8796739207173,0000000199,DO NOT USE WILLIAM INDUSTRIA,DO NOT USE WILLIAM INDUSTRIA,Product/Service Provider,true,true,Refer to Network,8796706275351
8800090324997,0000000200,DO NOT USE,SEE ACCT 317709,01,true,false,Commercial Airline,8800057229335
8799852396549,0000000201,AIR BERLIN GMBH & CO,AIR BERLIN GMBH & CO,,true,true,,8799819235351
8796977659909,0000000202,DO NOT USE,DO NOT USE,,true,false,,8796944564247
8799459082245,0000000203,DO NOT USE,SEE ACCT 318111,01,true,false,Repair Shop,8799425921047
8798384259077,0000000204,XIAMEN AIRLINES LTD,XIAMEN AIRLINES LTD,,true,true,,8798351228951
8799423496197,0000000205,MAXCRAFT AVIONICS LTD,MAXCRAFT AVIONICS LTD,Dealer,true,false,Comprehensive,8799390269463
8798311055365,0000000206,M & M AEROSPACE HARDWARE INC,M & M AEROSPACE HARDWARE INC,,true,false,,8798277926935
8796299722757,0000000207,Aerospace-Torrance,Aerospace-Torrance,,true,false,,8796266922007
8798986174469,0000000208,Aerospace-Phoenix (34th St),Aerospace-Phoenix (34th St),,true,false,,8798953144343
8797050994693,0000000209,Aerospace-Tempe (West Warner Rd),Aerospace-Tempe (West Warner Rd),,true,false,,8797017997335
8796637331461,0000000210,Aerospace-South Bend -GSE (Bendix D,Aerospace-South Bend -GSE (Bendix D,,true,false,,8796604399639
8800358531077,0000000211,HONEYWELL ROCKY MOUNT,HONEYWELL ROCKY MOUNT,,true,false,,8800325468183
8798648860677,0000000212,Aerospace HTSI Headquarters,Aerospace HTSI Headquarters,,true,false,,8798615928855
8796372992005,0000000213,INACTIVE-Aerospace-Montreal,INACTIVE-Aerospace-Montreal,,true,false,,8796340289559
8800744374277,0000000214,Aerospace-South Bend (Bendix Dr),Aerospace-South Bend (Bendix Dr),,true,false,,8800711245847
8800410468357,0000000215,PREMIER PRECISION GROUP,PREMIER PRECISION GROUP,,true,false,,8800378388503
8801034862597,0000000216,CURTISS WRIGHT CONTROLS DO NOT USE,CURTISS WRIGHT CONTROLS DO NOT USE,OEM,true,true,Comprehensive,8801001537559
8800692076549,0000000217,AMERICAN TOOL & DIE INC,AMERICAN TOOL & DIE INC,,true,false,,8800658817047
8801412939781,0000000218,CGI SERVICE AND REPAIR,CGI SERVICE AND REPAIR,,true,false,,8801379647511
8796376072197,0000000219,EATON CORP,EATON CORP,,true,false,,8796343173143
8800410206213,0000000220,AERO DESIGN & MANUFACTURING,AERO DESIGN & MANUFACTURING,,true,false,,8800376979479
8799013568517,0000000221,ALAMO AIRCRAFT SUPPLY INC,ALAMO AIRCRAFT SUPPLY INC,,true,false,,8798980472855
8800331923461,0000000222,ARIZONA BOILER CO,ARIZONA BOILER CO,,true,false,,8800298827799
8796662595589,0000000223,AMERICAN INDUSTRIES DIVERSFIED,AMERICAN INDUSTRIES DIVERSFIED,,true,false,,8796629663767
8800529022981,0000000224,UNISON INDUSTRIES LLC,UNISON INDUSTRIES LLC,,true,false,,8800495796247
8800743981061,0000000225,BOLTS METALLIZING INC,BOLTS METALLIZING INC,,true,false,,8800710819863
8800765902853,0000000226,DO NOT USE BIRKEN MANUFACTURING CO,DO NOT USE BIRKEN MANUFACTURING CO,Owner/Operator,true,true,Refer to Network,8800732741655
8799348424709,0000000227,BENSON AERO-MOTIVE INC,BENSON AERO-MOTIVE INC,,true,false,,8799315263511
8797391421445,0000000228,TIMKEN AEROSPACE BEARING REPAIR,TIMKEN AEROSPACE BEARING REPAIR,Product/Service Provider,true,false,Refer to Network,8797358391319
8796326559749,0000000229,CERTIFIED INDUSTRIES II LLC,CERTIFIED INDUSTRIES II LLC,,true,false,,8796293693463
8796717121541,0000000230,CERTIFIED INSPECTION SERVICE C,CERTIFIED INSPECTION SERVICE C,,true,false,,8796684156951
8799069405189,0000000231,DO NOT USE CAR GRAPH INC,DO NOT USE CAR GRAPH INC,Owner/Operator,true,true,Standard,8799036571671
8800077217797,0000000232,DO NOT USE DANVILLE METAL STAMPING,DO NOT USE DANVILLE METAL STAMPING,Product/Service Provider,true,true,Refer to Network,8800044187671
8800069910533,0000000233,NORTHSTAR AEROSPACE PHOENIX,NORTHSTAR AEROSPACE PHOENIX,,true,false,,8800036487191
8797309599749,0000000234,SOUTHWEST DOALL CO,SOUTHWEST DOALL CO,,true,false,,8797276602391
8797646192645,0000000235,DOALL SAN DIEGO CO,DOALL SAN DIEGO CO,,true,false,,8797614276631
8801338654725,0000000236,AMERICAN MACHINERY WORKS INC,AMERICAN MACHINERY WORKS INC,,true,false,,8801305329687
8801337704453,0000000237,PHOENIX OPERATION TFT,PHOENIX OPERATION TFT,,true,false,,8801304346647
8801358118917,0000000238,FUTURE WELD CO INC,FUTURE WELD CO INC,,true,false,,8801324990487
8799997689861,0000000239,US FILTER FUSCO ABRASIVES,US FILTER FUSCO ABRASIVES,,true,false,,8799964528663
8799399018501,0000000240,FASTENER DEPOT INC,FASTENER DEPOT INC,,true,false,,8799365824535
8801369915397,0000000241,HARTER AEROSPACE LLC,HARTER AEROSPACE LLC,Product/Service Provider,true,false,Standard,8801336688663
